Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Never Alone (Kisima Ingitchuna),Very Positive,"(5,437)","['Action, Adventure, Casual, Indie']","['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']","['Action, Adventure, Casual, Indie']",Upper One Games,E-Line Media,"18 Nov, 2014",https://store.steampowered.com/app/295790/Never_Alone_Kisima_Ingitchuna/?snr=1_7_7_7000_150_42,$14.99
STORY OF SEASONS: Friends of Mineral Town,Very Positive,"(4,293)","['Casual, RPG, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']","['Casual, RPG, Simulation']",Marvelous Inc.,XSEED Games,"14 Jul, 2020",https://store.steampowered.com/app/978780/STORY_OF_SEASONS_Friends_of_Mineral_Town/?snr=1_7_7_7000_150_42,$39.99
Juno: New Origins,Very Positive,"(2,293)","['Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Indie, Simulation']","Jundroo, LLC","Jundroo, LLC","26 Jan, 2023",https://store.steampowered.com/app/870200/Juno_New_Origins/?snr=1_7_7_7000_150_42,$10.49
BloodRayne: Terminal Cut,Very Positive,(971),['Action'],"['Single-player', 'Steam Trading Cards']",['Action'],Terminal Reality,Ziggurat,"20 Nov, 2020",https://store.steampowered.com/app/1373510/BloodRayne_Terminal_Cut/?snr=1_7_7_7000_150_42,$7.99
Kitten Burst,Very Positive,(86),"['Adventure, Indie, Racing, RPG']","['Single-player', 'Steam Achievements', 'Steam is learning about this game ']","['Adventure, Indie, Racing, RPG']",Lithodelphis,Lithodelphis,"20 Jan, 2024",https://store.steampowered.com/app/1592360/Kitten_Burst/?snr=1_7_7_7000_150_43,$12.49
A Light in the Dark,Very Positive,"(1,468)","['Casual, Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Casual, Indie']",CreSpirit,Sekai Project,"16 Jun, 2018",https://store.steampowered.com/app/766280/A_Light_in_the_Dark/?snr=1_7_7_7000_150_43,$4.79
Lost2,Very Positive,"(1,241)","['Casual, Indie, Strategy']","['Single-player', 'Steam Cloud']","['Casual, Indie, Strategy']",DSGame,DSGame,"30 Sep, 2022",https://store.steampowered.com/app/1930640/Lost2/?snr=1_7_7_7000_150_43,$15.99
The Wild Eight,Mostly Positive,"(6,110)","['Action, Adventure, Indie, RPG, Simulation']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Remote Play on TV']","['Action, Adventure, Indie, RPG, Simulation']",Eight Points,HypeTrain Digital,"3 Oct, 2019",https://store.steampowered.com/app/526160/The_Wild_Eight/?snr=1_7_7_7000_150_43,$14.99
Lock 'n Load Tactical Digital: Core Game,Very Positive,(470),"['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop']","['Indie, Simulation, Strategy, Early Access']",Lock 'n Load Publishing,Lock 'n Load Publishing,"3 Apr, 2020",https://store.steampowered.com/app/1149940/Lock_n_Load_Tactical_Digital_Core_Game/?snr=1_7_7_7000_150_43,$4.99
Hood Warfare,Very Positive,(169),"['Action, Early Access']","['Single-player', 'Online PvP']","['Action, Early Access']",Trapstar Games,Trapstar Games,"26 Jan, 2023",https://store.steampowered.com/app/2274510/Hood_Warfare/?snr=1_7_7_7000_150_43,$4.99
